Date,QQQ,SPY,XLE,XLF,XLK,XLU
2010-01-04,40.290802001953125,84.79635620117188,17.268266677856445,8.942388534545898,9.378783226013184,8.88609504699707
2010-01-05,40.290802001953125,85.02083587646484,17.40920639038086,9.106748580932617,9.366691589355469,8.780305862426758
2010-01-06,40.04776382446289,85.08070373535156,17.61768341064453,9.125009536743164,9.261896133422852,8.831769943237305
2010-01-07,40.07380676269531,85.43983459472656,17.591262817382812,9.319806098937988,9.225624084472656,8.791742324829102
2010-01-08,40.40362548828125,85.72418212890625,17.705774307250977,9.265022277832031,9.286086082458496,8.783167839050293
2010-01-11,40.23871994018555,85.84387969970703,17.682279586791992,9.271112442016602,9.249809265136719,8.874661445617676
2010-01-12,39.73529052734375,85.04329681396484,17.42682647705078,9.137185096740723,9.149049758911133,8.837491035461426
2010-01-13,40.23002243041992,85.76161193847656,17.491424560546875,9.240673065185547,9.237716674804688,8.934699058532715
2010-01-14,40.264747619628906,85.99351501464844,17.541336059570312,9.283282279968262,9.261896133422852,8.894672393798828
2010-01-15,39.796051025390625,85.02833557128906,17.40039825439453,9.094569206237793,9.132925033569336,8.837491035461426
2010-01-19,40.4383430480957,86.0907974243164,17.55895233154297,9.210236549377441,9.290111541748047,8.940417289733887
2010-01-20,39.8568115234375,85.21536254882812,17.285879135131836,9.185884475708008,9.140986442565918,8.846067428588867
2010-01-21,39.48359680175781,83.57677459716797,16.93353271484375,8.92412281036377,9.044257164001465,8.717406272888184
2010-01-22,38.32918930053711,81.71369934082031,16.531259536743164,8.631933212280273,8.72988510131836,8.525845527648926
2010-01-25,38.45939254760742,82.1326904296875,16.639902114868164,8.68062686920166,8.802431106567383,8.583027839660645
2010-01-26,38.494110107421875,81.78850555419922,16.53419303894043,8.528449058532715,8.778253555297852,8.617341041564941
2010-01-27,38.79789733886719,82.1775894165039,16.469600677490234,8.735417366027832,8.850798606872559,8.560157775878906
2010-01-28,37.79972839355469,81.23481750488281,16.296350479125977,8.692803382873535,8.596880912780762,8.494396209716797
2010-01-29,37.140079498291016,80.3519058227539,16.002727508544922,8.631933212280273,8.447754859924316,8.442931175231934
2010-02-01,37.54801559448242,81.60145568847656,16.531259536743164,8.778031349182129,8.544485092163086,8.4972562789917
2010-02-02,37.88653564453125,82.58910369873047,16.748550415039062,8.86325740814209,8.629122734069824,8.565873146057129
2010-02-03,38.09484100341797,82.1775894165039,16.60466957092285,8.76585865020752,8.649276733398438,8.50583267211914
2010-02-04,36.99253845214844,79.64107513427734,15.923456192016602,8.388434410095215,8.407453536987305,8.282822608947754
2010-02-05,37.30500030517578,79.80574035644531,15.926387786865234,8.485834121704102,8.492090225219727,8.268526077270508
2010-02-08,37.03594207763672,79.22959899902344,15.77957534790039,8.315387725830078,8.455817222595215,8.174177169799805
2010-02-09,37.41782760620117,80.22471618652344,16.111371994018555,8.400604248046875,8.528366088867188,8.257089614868164
2010-02-10,37.33972930908203,80.06758880615234,16.043840408325195,8.467569351196289,8.504182815551758,8.219924926757812
2010-02-11,37.903892517089844,80.90559387207031,16.316913604736328,8.485834121704102,8.592850685119629,8.268526077270508
2010-02-12,37.98201370239258,80.83826446533203,16.322782516479492,8.491920471191406,8.608973503112793,8.237077713012695
2010-02-16,38.46806716918945,82.1102523803711,16.707439422607422,8.66845703125,8.737946510314941,8.380032539367676
2010-02-17,38.685062408447266,82.49930572509766,16.68394660949707,8.698894500732422,8.762125968933105,8.34572696685791
2010-02-18,38.92808151245117,82.98567199707031,16.777912139892578,8.753679275512695,8.818553924560547,8.391468048095703
2010-02-19,38.91073989868164,83.15775299072266,16.842510223388672,8.802376747131348,8.794371604919434,8.508689880371094
2010-02-22,38.832618713378906,83.17272186279297,16.61053466796875,8.918041229248047,8.778253555297852,8.462945938110352
2010-02-23,38.32918930053711,82.16260528564453,16.33452796936035,8.753679275512695,8.669428825378418,8.40576457977295
2010-02-24,38.719791412353516,82.9183578491211,16.437299728393555,8.905862808227539,8.754067420959473,8.41434097290039
2010-02-25,38.71110153198242,82.80609130859375,16.446107864379883,8.881518363952637,8.72988510131836,8.397188186645508
2010-02-26,38.84996795654297,82.85848236083984,16.484275817871094,8.936299324035645,8.741978645324707,8.331428527832031
2010-03-01,39.41413879394531,83.71895599365234,16.636964797973633,8.960651397705078,8.854830741882324,8.451510429382324
2010-03-02,39.535675048828125,83.9509048461914,16.77497100830078,8.991086959838867,8.84273910522461,8.477242469787598
2010-03-03,39.579044342041016,84.02570343017578,16.848377227783203,8.997175216674805,8.846770286560059,8.462945938110352
2010-03-04,39.70924758911133,84.28010559082031,16.760284423828125,9.088486671447754,8.883037567138672,8.480101585388184
2010-03-05,40.30813980102539,85.48475646972656,17.07447624206543,9.265022277832031,8.991861343383789,8.565873146057129
2010-03-08,40.38627243041992,85.49970245361328,17.04804801940918,9.283282279968262,9.040228843688965,8.565873146057129
2010-03-09,40.6119384765625,85.6418685913086,17.04804801940918,9.313716888427734,9.08053207397461,8.554439544677734
2010-03-10,40.9417610168457,86.02347564697266,17.197799682617188,9.417205810546875,9.140986442565918,8.557294845581055
2010-03-11,41.09798812866211,86.38261413574219,17.16843605041504,9.496341705322266,9.177261352539062,8.585887908935547
2010-03-12,41.10666275024414,86.39009857177734,17.17723846435547,9.459815979003906,9.16919994354248,8.53156852722168
2010-03-15,41.00251388549805,86.41252899169922,17.001066207885742,9.459815979003906,9.161140441894531,8.563016891479492
2010-03-16,41.26293182373047,87.10089111328125,17.15374755859375,9.575479507446289,9.229657173156738,8.663084983825684
2010-03-17,41.37572479248047,87.6172103881836,17.341676712036133,9.691133499145508,9.257871627807617,8.691675186157227
2010-03-18,41.514625549316406,87.57231140136719,17.083280563354492,9.6363525390625,9.269965171813965,8.65164566040039
2010-03-19,41.26350402832031,87.12901306152344,16.87790870666504,9.572898864746094,9.214568138122559,8.642128944396973
2010-03-22,41.63713455200195,87.59483337402344,16.833707809448242,9.621709823608398,9.283306121826172,8.584437370300293
2010-03-23,41.92386245727539,88.2109375,16.898527145385742,9.701024055480957,9.372255325317383,8.619051933288574
2010-03-24,41.72400665283203,87.78262329101562,16.80129051208496,9.707128524780273,9.327780723571777,8.529630661010742
2010-03-25,41.66320037841797,87.63990783691406,16.518421173095703,9.749835968017578,9.343955993652344,8.474823951721191
2010-03-26,41.706626892089844,87.5873031616211,16.524320602416992,9.762041091918945,9.299476623535156,8.495017051696777
2010-03-29,41.906494140625,88.1432876586914,16.845495223999023,9.774243354797363,9.327780723571777,8.598860740661621
2010-03-30,42.04551315307617,88.20337677001953,16.87201690673828,9.713223457336426,9.368217468261719,8.575782775878906
2010-03-31,41.84564971923828,87.90287017822266,16.948619842529297,9.731532096862793,9.339909553527832,8.55559253692627
2010-04-01,41.84564971923828,88.50391387939453,17.249177932739258,9.810847282409668,9.32373332977295,8.673856735229492
2010-04-05,42.236656188964844,89.22517395019531,17.55561637878418,9.908468246459961,9.432904243469238,8.725778579711914
2010-04-06,42.35831069946289,89.435546875,17.55561637878418,10.012186050415039,9.44098949432373,8.797893524169922
2010-04-07,42.25404357910156,88.92463684082031,17.38176918029785,9.975584030151367,9.404601097106934,8.71135425567627
2010-04-08,42.34962463378906,89.23265838623047,17.443647384643555,10.054896354675293,9.420774459838867,8.659433364868164
2010-04-09,42.60158920288086,89.81871032714844,17.62928009033203,10.09150505065918,9.493556022644043,8.72289752960205
2010-04-12,42.636356353759766,89.9614028930664,17.670536041259766,10.134214401245117,9.513769149780273,8.745972633361816
2010-04-13,42.853572845458984,90.029052734375,17.608654022216797,10.140318870544434,9.542075157165527,8.69981575012207
2010-04-14,43.3662223815918,91.05084991455078,17.776609420776367,10.402674674987793,9.679540634155273,8.708476066589355
2010-04-15,43.557373046875,91.1259765625,17.773658752441406,10.359963417053223,9.724018096923828,8.705588340759277
2010-04-16,43.036014556884766,89.67595672607422,17.47311019897461,9.981681823730469,9.594634056091309,8.604628562927246
2010-04-19,43.00997543334961,90.01404571533203,17.496688842773438,10.079302787780762,9.614850997924805,8.613283157348633
2010-04-20,43.22719192504883,90.81791687011719,17.838481903076172,10.213531494140625,9.667414665222168,8.72289752960205
2010-04-21,43.47047424316406,90.65264129638672,17.8208065032959,10.152521133422852,9.687626838684082,8.731548309326172
2010-04-22,43.71377944946289,90.92312622070312,17.864999771118164,10.207430839538574,9.71188735961914,8.760394096374512
2010-04-23,43.8962287902832,91.51667022705078,18.295204162597656,10.23793888092041,9.736146926879883,8.829626083374023
2010-04-26,43.80065155029297,91.1710205078125,18.233325958251953,10.079302787780762,9.724018096923828,8.797893524169922
2010-04-27,42.87095642089844,89.0147933959961,17.67347526550293,9.73763370513916,9.53398609161377,8.647894859313965
2010-04-28,42.89701461791992,89.69096374511719,17.85321617126465,9.877964973449707,9.562287330627441,8.737318992614746
2010-04-29,43.64427185058594,90.80290985107422,17.87384796142578,10.103714942932129,9.659323692321777,8.745972633361816
2010-04-30,42.7840690612793,89.26272583007812,17.652854919433594,9.859658241271973,9.457164764404297,8.780588150024414
2010-05-03,43.38359069824219,90.41973876953125,17.85321617126465,10.048796653747559,9.586544036865234,8.893084526062012
2010-05-04,42.08027648925781,88.29352569580078,17.37587547302246,9.774243354797363,9.311606407165527,8.740205764770508
2010-05-05,41.86304473876953,87.76764678955078,17.101844787597656,9.719332695007324,9.271177291870117,8.67962646484375
2010-05-06,40.464115142822266,84.8525619506836,16.518421173095703,9.310545921325684,8.99219036102295,8.440206527709961
2010-05-07,39.456214904785156,83.59037780761719,16.203144073486328,9.206818580627441,8.794071197509766,8.394058227539062
2010-05-10,41.506805419921875,87.27177429199219,16.895584106445312,9.719332695007324,9.198395729064941,8.653668403625488
2010-05-11,41.46334457397461,87.02381896972656,16.783615112304688,9.682723045349121,9.13774585723877,8.670974731445312
2010-05-12,42.245338439941406,88.2409439086914,17.01639747619629,9.79254150390625,9.376298904418945,8.743085861206055
2010-05-13,41.576316833496094,87.14405822753906,16.90737533569336,9.615605354309082,9.238829612731934,8.705588340759277
2010-05-14,40.77693557739258,85.5663070678711,16.57146644592285,9.365453720092773,9.06092357635498,8.633472442626953
2010-05-17,40.90726852416992,85.61135864257812,16.400564193725586,9.37155818939209,9.105399131774902,8.642128944396973
2010-05-18,40.342472076416016,84.44686889648438,16.273862838745117,9.103100776672363,8.967926979064941,8.558479309082031
2010-05-19,40.02098846435547,83.96601867675781,16.08823013305664,9.115299224853516,8.89919376373291,8.471939086914062
2010-05-20,38.53519821166992,80.79549407958984,15.369269371032715,8.694316864013672,8.616168022155762,8.218097686767578
2010-05-21,38.9609489440918,81.97505187988281,15.637405395507812,8.999383926391602,8.680861473083496,8.255596160888672
2010-05-24,38.80454635620117,80.92321014404297,15.280863761901855,8.743123054504395,8.640429496765137,8.177717208862305
2010-05-25,38.83931350708008,81.00587463378906,15.316229820251465,8.82243824005127,8.616168022155762,8.134449005126953
2010-05-26,38.404850006103516,80.51753234863281,15.28381633758545,8.76142692565918,8.531258583068848,8.131564140319824
2010-05-27,39.85590362548828,83.2146987915039,15.932062149047852,9.158014297485352,8.822368621826172,8.287327766418457
2010-05-28,39.62130355834961,82.17039489746094,15.63150691986084,8.956668853759766,8.749591827392578,8.295980453491211
2010-06-01,39.25635528564453,80.7879867553711,14.8889741897583,8.767531394958496,8.66468620300293,8.102715492248535
2010-06-02,40.18608474731445,82.89165496826172,15.53427505493164,9.042091369628906,8.858760833740234,8.272903442382812
2010-06-03,40.56838607788086,83.1771469116211,15.743477821350098,8.99327564239502,8.947713851928711,8.359443664550781
2010-06-04,39.17818832397461,80.25457000732422,15.18952751159668,8.63330364227295,8.66064453125,8.111371040344238
2010-06-07,38.4656867980957,79.25533294677734,15.056930541992188,8.4624662399292,8.535304069519043,8.160407066345215
2010-06-08,38.39616012573242,80.10430145263672,15.307385444641113,8.639403343200684,8.551478385925293,8.267136573791504
2010-06-09,38.074676513671875,79.67608642578125,15.148270606994629,8.547883987426758,8.50700569152832,8.220985412597656
2010-06-10,39.160789489746094,82.00513458251953,15.908487319946289,8.828544616699219,8.713201522827148,8.422903060913086
2010-06-11,39.5344123840332,82.40331268310547,16.005722045898438,8.852945327758789,8.790024757385254,8.42867374420166
2010-06-14,39.52573776245117,82.27557373046875,15.92322063446045,8.8163423538208,8.77385425567627,8.477706909179688
2010-06-15,40.58576583862305,84.14632415771484,16.388776779174805,9.023786544799805,9.004321098327637,8.642128944396973
2010-06-16,40.75087356567383,84.11627960205078,16.37698745727539,9.029888153076172,9.028576850891113,8.696937561035156
